                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8791,                  3.401,                 2.5845,                0.00959,                0.97959,                0.02886,                0.00874,                 2.1181,                  3.523,                 2.3373,                0.00028,                0.00028,                0.00028
                      1,                 2.4546,                  3.315,                 2.5138,                0.00333,                      1,                0.11088,                0.04645,                 2.0817,                 3.5051,                 2.0185,                0.00064,                0.00064,                0.00064
